country,QS Login,Status,seller_id,Task ID,associate_queue,associate,metric_wk_no,associate_action,correct associate action,Associate Key-Driver,Sub-Key driver,Defect Area Associate,QA Comments on Associate Action,Metric name,investigator_task,investigator_queue,investigator,verification_action,correct investigator action,Investigator Key-Driver,Defect Area Investigator,QA Comments on investigator Action,General Notes,Action_correctly_captured,Audit_outcome,associate_resolve date,Type_of_audit,If_data_correctly_captured
country12,QS Login12,Status12,seller_id12,Task ID12,associate_queue12,associate12,48,associate_action12,correct associate action12,Associate Key-Driver12,Sub-Key driver12,Defect Area Associate12,QA Comments on Associate Action12,Metric name12,investigator_task12,investigator_queue12,investigator12,verification_action12,correct investigator action12,Investigator Key-Driver12,Defect Area Investigator12,QA Comments on investigator Action12,General Notes12,Action_correctly_captured12,Audit_outcome12,13/07/2021,Type_of_audit12,If_data_correctly_captured12
country13,QS Login13,Status13,seller_id13,Task ID13,associate_queue13,associate13,48,associate_action13,correct associate action13,Associate Key-Driver13,Sub-Key driver13,Defect Area Associate13,QA Comments on Associate Action13,Metric name13,investigator_task13,investigator_queue13,investigator13,verification_action13,correct investigator action13,Investigator Key-Driver13,Defect Area Investigator13,QA Comments on investigator Action13,General Notes13,Action_correctly_captured13,Audit_outcome13,13/07/2021,Type_of_audit13,If_data_correctly_captured13
country14,QS Login14,Status14,seller_id14,Task ID14,associate_queue14,associate14,48,associate_action14,correct associate action14,Associate Key-Driver14,Sub-Key driver14,Defect Area Associate14,QA Comments on Associate Action14,Metric name14,investigator_task14,investigator_queue14,investigator14,verification_action14,correct investigator action14,Investigator Key-Driver14,Defect Area Investigator14,QA Comments on investigator Action14,General Notes14,Action_correctly_captured14,Audit_outcome14,13/07/2021,Type_of_audit14,If_data_correctly_captured14
country15,QS Login15,Status15,seller_id15,Task ID15,associate_queue15,associate15,48,associate_action15,correct associate action15,Associate Key-Driver15,Sub-Key driver15,Defect Area Associate15,QA Comments on Associate Action15,Metric name15,investigator_task15,investigator_queue15,investigator15,verification_action15,correct investigator action15,Investigator Key-Driver15,Defect Area Investigator15,QA Comments on investigator Action15,General Notes15,Action_correctly_captured15,Audit_outcome15,13/07/2021,Type_of_audit15,If_data_correctly_captured15
country16,QS Login16,Status16,seller_id16,Task ID16,associate_queue16,associate16,48,associate_action16,correct associate action16,Associate Key-Driver16,Sub-Key driver16,Defect Area Associate16,QA Comments on Associate Action16,Metric name16,investigator_task16,investigator_queue16,investigator16,verification_action16,correct investigator action16,Investigator Key-Driver16,Defect Area Investigator16,QA Comments on investigator Action16,General Notes16,Action_correctly_captured16,Audit_outcome16,13/07/2021,Type_of_audit16,If_data_correctly_captured16
country17,QS Login17,Status17,seller_id17,Task ID17,associate_queue17,associate17,48,associate_action17,correct associate action17,Associate Key-Driver17,Sub-Key driver17,Defect Area Associate17,QA Comments on Associate Action17,Metric name17,investigator_task17,investigator_queue17,investigator17,verification_action17,correct investigator action17,Investigator Key-Driver17,Defect Area Investigator17,QA Comments on investigator Action17,General Notes17,Action_correctly_captured17,Audit_outcome17,13/07/2021,Type_of_audit17,If_data_correctly_captured17
country18,QS Login18,Status18,seller_id18,Task ID18,associate_queue18,associate18,48,associate_action18,correct associate action18,Associate Key-Driver18,Sub-Key driver18,Defect Area Associate18,QA Comments on Associate Action18,Metric name18,investigator_task18,investigator_queue18,investigator18,verification_action18,correct investigator action18,Investigator Key-Driver18,Defect Area Investigator18,QA Comments on investigator Action18,General Notes18,Action_correctly_captured18,Audit_outcome18,13/07/2021,Type_of_audit18,If_data_correctly_captured18
country19,QS Login19,Status19,seller_id19,Task ID19,associate_queue19,associate19,48,associate_action19,correct associate action19,Associate Key-Driver19,Sub-Key driver19,Defect Area Associate19,QA Comments on Associate Action19,Metric name19,investigator_task19,investigator_queue19,investigator19,verification_action19,correct investigator action19,Investigator Key-Driver19,Defect Area Investigator19,QA Comments on investigator Action19,General Notes19,Action_correctly_captured19,Audit_outcome19,13/07/2021,Type_of_audit19,If_data_correctly_captured19
country20,QS Login20,Status20,seller_id20,Task ID20,associate_queue20,associate20,48,associate_action20,correct associate action20,Associate Key-Driver20,Sub-Key driver20,Defect Area Associate20,QA Comments on Associate Action20,Metric name20,investigator_task20,investigator_queue20,investigator20,verification_action20,correct investigator action20,Investigator Key-Driver20,Defect Area Investigator20,QA Comments on investigator Action20,General Notes20,Action_correctly_captured20,Audit_outcome20,13/07/2021,Type_of_audit20,If_data_correctly_captured20
country21,QS Login21,Status21,seller_id21,Task ID21,associate_queue21,associate21,48,associate_action21,correct associate action21,Associate Key-Driver21,Sub-Key driver21,Defect Area Associate21,QA Comments on Associate Action21,Metric name21,investigator_task21,investigator_queue21,investigator21,verification_action21,correct investigator action21,Investigator Key-Driver21,Defect Area Investigator21,QA Comments on investigator Action21,General Notes21,Action_correctly_captured21,Audit_outcome21,13/07/2021,Type_of_audit21,If_data_correctly_captured21
country22,QS Login22,Status22,seller_id22,Task ID22,associate_queue22,associate22,48,associate_action22,correct associate action22,Associate Key-Driver22,Sub-Key driver22,Defect Area Associate22,QA Comments on Associate Action22,Metric name22,investigator_task22,investigator_queue22,investigator22,verification_action22,correct investigator action22,Investigator Key-Driver22,Defect Area Investigator22,QA Comments on investigator Action22,General Notes22,Action_correctly_captured22,Audit_outcome22,13/07/2021,Type_of_audit22,If_data_correctly_captured22
country23,QS Login23,Status23,seller_id23,Task ID23,associate_queue23,associate23,48,associate_action23,correct associate action23,Associate Key-Driver23,Sub-Key driver23,Defect Area Associate23,QA Comments on Associate Action23,Metric name23,investigator_task23,investigator_queue23,investigator23,verification_action23,correct investigator action23,Investigator Key-Driver23,Defect Area Investigator23,QA Comments on investigator Action23,General Notes23,Action_correctly_captured23,Audit_outcome23,13/07/2021,Type_of_audit23,If_data_correctly_captured23
country24,QS Login24,Status24,seller_id24,Task ID24,associate_queue24,associate24,48,associate_action24,correct associate action24,Associate Key-Driver24,Sub-Key driver24,Defect Area Associate24,QA Comments on Associate Action24,Metric name24,investigator_task24,investigator_queue24,investigator24,verification_action24,correct investigator action24,Investigator Key-Driver24,Defect Area Investigator24,QA Comments on investigator Action24,General Notes24,Action_correctly_captured24,Audit_outcome24,13/07/2021,Type_of_audit24,If_data_correctly_captured24
country25,QS Login25,Status25,seller_id25,Task ID25,associate_queue25,associate25,48,associate_action25,correct associate action25,Associate Key-Driver25,Sub-Key driver25,Defect Area Associate25,QA Comments on Associate Action25,Metric name25,investigator_task25,investigator_queue25,investigator25,verification_action25,correct investigator action25,Investigator Key-Driver25,Defect Area Investigator25,QA Comments on investigator Action25,General Notes25,Action_correctly_captured25,Audit_outcome25,13/07/2021,Type_of_audit25,If_data_correctly_captured25
country26,QS Login26,Status26,seller_id26,Task ID26,associate_queue26,associate26,48,associate_action26,correct associate action26,Associate Key-Driver26,Sub-Key driver26,Defect Area Associate26,QA Comments on Associate Action26,Metric name26,investigator_task26,investigator_queue26,investigator26,verification_action26,correct investigator action26,Investigator Key-Driver26,Defect Area Investigator26,QA Comments on investigator Action26,General Notes26,Action_correctly_captured26,Audit_outcome26,13/07/2021,Type_of_audit26,If_data_correctly_captured26
country27,QS Login27,Status27,seller_id27,Task ID27,associate_queue27,associate27,48,associate_action27,correct associate action27,Associate Key-Driver27,Sub-Key driver27,Defect Area Associate27,QA Comments on Associate Action27,Metric name27,investigator_task27,investigator_queue27,investigator27,verification_action27,correct investigator action27,Investigator Key-Driver27,Defect Area Investigator27,QA Comments on investigator Action27,General Notes27,Action_correctly_captured27,Audit_outcome27,13/07/2021,Type_of_audit27,If_data_correctly_captured27
country28,QS Login28,Status28,seller_id28,Task ID28,associate_queue28,associate28,48,associate_action28,correct associate action28,Associate Key-Driver28,Sub-Key driver28,Defect Area Associate28,QA Comments on Associate Action28,Metric name28,investigator_task28,investigator_queue28,investigator28,verification_action28,correct investigator action28,Investigator Key-Driver28,Defect Area Investigator28,QA Comments on investigator Action28,General Notes28,Action_correctly_captured28,Audit_outcome28,13/07/2021,Type_of_audit28,If_data_correctly_captured28
country29,QS Login29,Status29,seller_id29,Task ID29,associate_queue29,associate29,48,associate_action29,correct associate action29,Associate Key-Driver29,Sub-Key driver29,Defect Area Associate29,QA Comments on Associate Action29,Metric name29,investigator_task29,investigator_queue29,investigator29,verification_action29,correct investigator action29,Investigator Key-Driver29,Defect Area Investigator29,QA Comments on investigator Action29,General Notes29,Action_correctly_captured29,Audit_outcome29,13/07/2021,Type_of_audit29,If_data_correctly_captured29
country30,QS Login30,Status30,seller_id30,Task ID30,associate_queue30,associate30,48,associate_action30,correct associate action30,Associate Key-Driver30,Sub-Key driver30,Defect Area Associate30,QA Comments on Associate Action30,Metric name30,investigator_task30,investigator_queue30,investigator30,verification_action30,correct investigator action30,Investigator Key-Driver30,Defect Area Investigator30,QA Comments on investigator Action30,General Notes30,Action_correctly_captured30,Audit_outcome30,13/07/2021,Type_of_audit30,If_data_correctly_captured30
country31,QS Login31,Status31,seller_id31,Task ID31,associate_queue31,associate31,48,associate_action31,correct associate action31,Associate Key-Driver31,Sub-Key driver31,Defect Area Associate31,QA Comments on Associate Action31,Metric name31,investigator_task31,investigator_queue31,investigator31,verification_action31,correct investigator action31,Investigator Key-Driver31,Defect Area Investigator31,QA Comments on investigator Action31,General Notes31,Action_correctly_captured31,Audit_outcome31,13/07/2021,Type_of_audit31,If_data_correctly_captured31
country32,QS Login32,Status32,seller_id32,Task ID32,associate_queue32,associate32,48,associate_action32,correct associate action32,Associate Key-Driver32,Sub-Key driver32,Defect Area Associate32,QA Comments on Associate Action32,Metric name32,investigator_task32,investigator_queue32,investigator32,verification_action32,correct investigator action32,Investigator Key-Driver32,Defect Area Investigator32,QA Comments on investigator Action32,General Notes32,Action_correctly_captured32,Audit_outcome32,13/07/2021,Type_of_audit32,If_data_correctly_captured32
country33,QS Login33,Status33,seller_id33,Task ID33,associate_queue33,associate33,48,associate_action33,correct associate action33,Associate Key-Driver33,Sub-Key driver33,Defect Area Associate33,QA Comments on Associate Action33,Metric name33,investigator_task33,investigator_queue33,investigator33,verification_action33,correct investigator action33,Investigator Key-Driver33,Defect Area Investigator33,QA Comments on investigator Action33,General Notes33,Action_correctly_captured33,Audit_outcome33,13/07/2021,Type_of_audit33,If_data_correctly_captured33
country34,QS Login34,Status34,seller_id34,Task ID34,associate_queue34,associate34,48,associate_action34,correct associate action34,Associate Key-Driver34,Sub-Key driver34,Defect Area Associate34,QA Comments on Associate Action34,Metric name34,investigator_task34,investigator_queue34,investigator34,verification_action34,correct investigator action34,Investigator Key-Driver34,Defect Area Investigator34,QA Comments on investigator Action34,General Notes34,Action_correctly_captured34,Audit_outcome34,13/07/2021,Type_of_audit34,If_data_correctly_captured34
country35,QS Login35,Status35,seller_id35,Task ID35,associate_queue35,associate35,48,associate_action35,correct associate action35,Associate Key-Driver35,Sub-Key driver35,Defect Area Associate35,QA Comments on Associate Action35,Metric name35,investigator_task35,investigator_queue35,investigator35,verification_action35,correct investigator action35,Investigator Key-Driver35,Defect Area Investigator35,QA Comments on investigator Action35,General Notes35,Action_correctly_captured35,Audit_outcome35,13/07/2021,Type_of_audit35,If_data_correctly_captured35
country36,QS Login36,Status36,seller_id36,Task ID36,associate_queue36,associate36,48,associate_action36,correct associate action36,Associate Key-Driver36,Sub-Key driver36,Defect Area Associate36,QA Comments on Associate Action36,Metric name36,investigator_task36,investigator_queue36,investigator36,verification_action36,correct investigator action36,Investigator Key-Driver36,Defect Area Investigator36,QA Comments on investigator Action36,General Notes36,Action_correctly_captured36,Audit_outcome36,13/07/2021,Type_of_audit36,If_data_correctly_captured36
country37,QS Login37,Status37,seller_id37,Task ID37,associate_queue37,associate37,48,associate_action37,correct associate action37,Associate Key-Driver37,Sub-Key driver37,Defect Area Associate37,QA Comments on Associate Action37,Metric name37,investigator_task37,investigator_queue37,investigator37,verification_action37,correct investigator action37,Investigator Key-Driver37,Defect Area Investigator37,QA Comments on investigator Action37,General Notes37,Action_correctly_captured37,Audit_outcome37,13/07/2021,Type_of_audit37,If_data_correctly_captured37
country38,QS Login38,Status38,seller_id38,Task ID38,associate_queue38,associate38,48,associate_action38,correct associate action38,Associate Key-Driver38,Sub-Key driver38,Defect Area Associate38,QA Comments on Associate Action38,Metric name38,investigator_task38,investigator_queue38,investigator38,verification_action38,correct investigator action38,Investigator Key-Driver38,Defect Area Investigator38,QA Comments on investigator Action38,General Notes38,Action_correctly_captured38,Audit_outcome38,13/07/2021,Type_of_audit38,If_data_correctly_captured38
country39,QS Login39,Status39,seller_id39,Task ID39,associate_queue39,associate39,48,associate_action39,correct associate action39,Associate Key-Driver39,Sub-Key driver39,Defect Area Associate39,QA Comments on Associate Action39,Metric name39,investigator_task39,investigator_queue39,investigator39,verification_action39,correct investigator action39,Investigator Key-Driver39,Defect Area Investigator39,QA Comments on investigator Action39,General Notes39,Action_correctly_captured39,Audit_outcome39,13/07/2021,Type_of_audit39,If_data_correctly_captured39
country40,QS Login40,Status40,seller_id40,Task ID40,associate_queue40,associate40,48,associate_action40,correct associate action40,Associate Key-Driver40,Sub-Key driver40,Defect Area Associate40,QA Comments on Associate Action40,Metric name40,investigator_task40,investigator_queue40,investigator40,verification_action40,correct investigator action40,Investigator Key-Driver40,Defect Area Investigator40,QA Comments on investigator Action40,General Notes40,Action_correctly_captured40,Audit_outcome40,13/07/2021,Type_of_audit40,If_data_correctly_captured40
country41,QS Login41,Status41,seller_id41,Task ID41,associate_queue41,associate41,48,associate_action41,correct associate action41,Associate Key-Driver41,Sub-Key driver41,Defect Area Associate41,QA Comments on Associate Action41,Metric name41,investigator_task41,investigator_queue41,investigator41,verification_action41,correct investigator action41,Investigator Key-Driver41,Defect Area Investigator41,QA Comments on investigator Action41,General Notes41,Action_correctly_captured41,Audit_outcome41,13/07/2021,Type_of_audit41,If_data_correctly_captured41
country42,QS Login42,Status42,seller_id42,Task ID42,associate_queue42,associate42,48,associate_action42,correct associate action42,Associate Key-Driver42,Sub-Key driver42,Defect Area Associate42,QA Comments on Associate Action42,Metric name42,investigator_task42,investigator_queue42,investigator42,verification_action42,correct investigator action42,Investigator Key-Driver42,Defect Area Investigator42,QA Comments on investigator Action42,General Notes42,Action_correctly_captured42,Audit_outcome42,13/07/2021,Type_of_audit42,If_data_correctly_captured42
country43,QS Login43,Status43,seller_id43,Task ID43,associate_queue43,associate43,48,associate_action43,correct associate action43,Associate Key-Driver43,Sub-Key driver43,Defect Area Associate43,QA Comments on Associate Action43,Metric name43,investigator_task43,investigator_queue43,investigator43,verification_action43,correct investigator action43,Investigator Key-Driver43,Defect Area Investigator43,QA Comments on investigator Action43,General Notes43,Action_correctly_captured43,Audit_outcome43,13/07/2021,Type_of_audit43,If_data_correctly_captured43
country44,QS Login44,Status44,seller_id44,Task ID44,associate_queue44,associate44,48,associate_action44,correct associate action44,Associate Key-Driver44,Sub-Key driver44,Defect Area Associate44,QA Comments on Associate Action44,Metric name44,investigator_task44,investigator_queue44,investigator44,verification_action44,correct investigator action44,Investigator Key-Driver44,Defect Area Investigator44,QA Comments on investigator Action44,General Notes44,Action_correctly_captured44,Audit_outcome44,13/07/2021,Type_of_audit44,If_data_correctly_captured44
country45,QS Login45,Status45,seller_id45,Task ID45,associate_queue45,associate45,48,associate_action45,correct associate action45,Associate Key-Driver45,Sub-Key driver45,Defect Area Associate45,QA Comments on Associate Action45,Metric name45,investigator_task45,investigator_queue45,investigator45,verification_action45,correct investigator action45,Investigator Key-Driver45,Defect Area Investigator45,QA Comments on investigator Action45,General Notes45,Action_correctly_captured45,Audit_outcome45,13/07/2021,Type_of_audit45,If_data_correctly_captured45
country46,QS Login46,Status46,seller_id46,Task ID46,associate_queue46,associate46,48,associate_action46,correct associate action46,Associate Key-Driver46,Sub-Key driver46,Defect Area Associate46,QA Comments on Associate Action46,Metric name46,investigator_task46,investigator_queue46,investigator46,verification_action46,correct investigator action46,Investigator Key-Driver46,Defect Area Investigator46,QA Comments on investigator Action46,General Notes46,Action_correctly_captured46,Audit_outcome46,13/07/2021,Type_of_audit46,If_data_correctly_captured46
country47,QS Login47,Status47,seller_id47,Task ID47,associate_queue47,associate47,48,associate_action47,correct associate action47,Associate Key-Driver47,Sub-Key driver47,Defect Area Associate47,QA Comments on Associate Action47,Metric name47,investigator_task47,investigator_queue47,investigator47,verification_action47,correct investigator action47,Investigator Key-Driver47,Defect Area Investigator47,QA Comments on investigator Action47,General Notes47,Action_correctly_captured47,Audit_outcome47,13/07/2021,Type_of_audit47,If_data_correctly_captured47
country48,QS Login48,Status48,seller_id48,Task ID48,associate_queue48,associate48,48,associate_action48,correct associate action48,Associate Key-Driver48,Sub-Key driver48,Defect Area Associate48,QA Comments on Associate Action48,Metric name48,investigator_task48,investigator_queue48,investigator48,verification_action48,correct investigator action48,Investigator Key-Driver48,Defect Area Investigator48,QA Comments on investigator Action48,General Notes48,Action_correctly_captured48,Audit_outcome48,13/07/2021,Type_of_audit48,If_data_correctly_captured48
country49,QS Login49,Status49,seller_id49,Task ID49,associate_queue49,associate49,48,associate_action49,correct associate action49,Associate Key-Driver49,Sub-Key driver49,Defect Area Associate49,QA Comments on Associate Action49,Metric name49,investigator_task49,investigator_queue49,investigator49,verification_action49,correct investigator action49,Investigator Key-Driver49,Defect Area Investigator49,QA Comments on investigator Action49,General Notes49,Action_correctly_captured49,Audit_outcome49,13/07/2021,Type_of_audit49,If_data_correctly_captured49
country50,QS Login50,Status50,seller_id50,Task ID50,associate_queue50,associate50,48,associate_action50,correct associate action50,Associate Key-Driver50,Sub-Key driver50,Defect Area Associate50,QA Comments on Associate Action50,Metric name50,investigator_task50,investigator_queue50,investigator50,verification_action50,correct investigator action50,Investigator Key-Driver50,Defect Area Investigator50,QA Comments on investigator Action50,General Notes50,Action_correctly_captured50,Audit_outcome50,13/07/2021,Type_of_audit50,If_data_correctly_captured50
country51,QS Login51,Status51,seller_id51,Task ID51,associate_queue51,associate51,48,associate_action51,correct associate action51,Associate Key-Driver51,Sub-Key driver51,Defect Area Associate51,QA Comments on Associate Action51,Metric name51,investigator_task51,investigator_queue51,investigator51,verification_action51,correct investigator action51,Investigator Key-Driver51,Defect Area Investigator51,QA Comments on investigator Action51,General Notes51,Action_correctly_captured51,Audit_outcome51,13/07/2021,Type_of_audit51,If_data_correctly_captured51
country52,QS Login52,Status52,seller_id52,Task ID52,associate_queue52,associate52,48,associate_action52,correct associate action52,Associate Key-Driver52,Sub-Key driver52,Defect Area Associate52,QA Comments on Associate Action52,Metric name52,investigator_task52,investigator_queue52,investigator52,verification_action52,correct investigator action52,Investigator Key-Driver52,Defect Area Investigator52,QA Comments on investigator Action52,General Notes52,Action_correctly_captured52,Audit_outcome52,13/07/2021,Type_of_audit52,If_data_correctly_captured52
country53,QS Login53,Status53,seller_id53,Task ID53,associate_queue53,associate53,48,associate_action53,correct associate action53,Associate Key-Driver53,Sub-Key driver53,Defect Area Associate53,QA Comments on Associate Action53,Metric name53,investigator_task53,investigator_queue53,investigator53,verification_action53,correct investigator action53,Investigator Key-Driver53,Defect Area Investigator53,QA Comments on investigator Action53,General Notes53,Action_correctly_captured53,Audit_outcome53,13/07/2021,Type_of_audit53,If_data_correctly_captured53
country54,QS Login54,Status54,seller_id54,Task ID54,associate_queue54,associate54,48,associate_action54,correct associate action54,Associate Key-Driver54,Sub-Key driver54,Defect Area Associate54,QA Comments on Associate Action54,Metric name54,investigator_task54,investigator_queue54,investigator54,verification_action54,correct investigator action54,Investigator Key-Driver54,Defect Area Investigator54,QA Comments on investigator Action54,General Notes54,Action_correctly_captured54,Audit_outcome54,13/07/2021,Type_of_audit54,If_data_correctly_captured54
country55,QS Login55,Status55,seller_id55,Task ID55,associate_queue55,associate55,48,associate_action55,correct associate action55,Associate Key-Driver55,Sub-Key driver55,Defect Area Associate55,QA Comments on Associate Action55,Metric name55,investigator_task55,investigator_queue55,investigator55,verification_action55,correct investigator action55,Investigator Key-Driver55,Defect Area Investigator55,QA Comments on investigator Action55,General Notes55,Action_correctly_captured55,Audit_outcome55,13/07/2021,Type_of_audit55,If_data_correctly_captured55
country56,QS Login56,Status56,seller_id56,Task ID56,associate_queue56,associate56,48,associate_action56,correct associate action56,Associate Key-Driver56,Sub-Key driver56,Defect Area Associate56,QA Comments on Associate Action56,Metric name56,investigator_task56,investigator_queue56,investigator56,verification_action56,correct investigator action56,Investigator Key-Driver56,Defect Area Investigator56,QA Comments on investigator Action56,General Notes56,Action_correctly_captured56,Audit_outcome56,13/07/2021,Type_of_audit56,If_data_correctly_captured56
country57,QS Login57,Status57,seller_id57,Task ID57,associate_queue57,associate57,48,associate_action57,correct associate action57,Associate Key-Driver57,Sub-Key driver57,Defect Area Associate57,QA Comments on Associate Action57,Metric name57,investigator_task57,investigator_queue57,investigator57,verification_action57,correct investigator action57,Investigator Key-Driver57,Defect Area Investigator57,QA Comments on investigator Action57,General Notes57,Action_correctly_captured57,Audit_outcome57,13/07/2021,Type_of_audit57,If_data_correctly_captured57
country58,QS Login58,Status58,seller_id58,Task ID58,associate_queue58,associate58,48,associate_action58,correct associate action58,Associate Key-Driver58,Sub-Key driver58,Defect Area Associate58,QA Comments on Associate Action58,Metric name58,investigator_task58,investigator_queue58,investigator58,verification_action58,correct investigator action58,Investigator Key-Driver58,Defect Area Investigator58,QA Comments on investigator Action58,General Notes58,Action_correctly_captured58,Audit_outcome58,13/07/2021,Type_of_audit58,If_data_correctly_captured58
country59,QS Login59,Status59,seller_id59,Task ID59,associate_queue59,associate59,48,associate_action59,correct associate action59,Associate Key-Driver59,Sub-Key driver59,Defect Area Associate59,QA Comments on Associate Action59,Metric name59,investigator_task59,investigator_queue59,investigator59,verification_action59,correct investigator action59,Investigator Key-Driver59,Defect Area Investigator59,QA Comments on investigator Action59,General Notes59,Action_correctly_captured59,Audit_outcome59,13/07/2021,Type_of_audit59,If_data_correctly_captured59
country60,QS Login60,Status60,seller_id60,Task ID60,associate_queue60,associate60,48,associate_action60,correct associate action60,Associate Key-Driver60,Sub-Key driver60,Defect Area Associate60,QA Comments on Associate Action60,Metric name60,investigator_task60,investigator_queue60,investigator60,verification_action60,correct investigator action60,Investigator Key-Driver60,Defect Area Investigator60,QA Comments on investigator Action60,General Notes60,Action_correctly_captured60,Audit_outcome60,13/07/2021,Type_of_audit60,If_data_correctly_captured60
country61,QS Login61,Status61,seller_id61,Task ID61,associate_queue61,associate61,48,associate_action61,correct associate action61,Associate Key-Driver61,Sub-Key driver61,Defect Area Associate61,QA Comments on Associate Action61,Metric name61,investigator_task61,investigator_queue61,investigator61,verification_action61,correct investigator action61,Investigator Key-Driver61,Defect Area Investigator61,QA Comments on investigator Action61,General Notes61,Action_correctly_captured61,Audit_outcome61,13/07/2021,Type_of_audit61,If_data_correctly_captured61
